iter	Passed	Remaining
1103	413552	522934
1104	413898	522522
1105	414259	522131
1106	414636	521760
1107	415065	521453
1108	415412	521045
1109	415778	520659
1110	416150	520282
1111	416525	519907
1112	416971	519622
1113	417351	519253
1114	417754	518914
1115	418215	518647
1116	418570	518247
1117	418933	517858
1118	419301	517475
1119	419706	517138
1120	420063	516741
1121	420445	516376
1122	420847	516034
1123	421257	515703
1124	421664	515367
1125	422069	515029
1126	422469	514685
1127	422838	514304
1128	423218	513934
1129	423549	513507
1130	423871	513068
1131	424199	512637
1132	424571	512258
1133	424953	511892
1134	425344	511537
1135	425700	511140
1136	426030	510712
1137	426366	510290
1138	426708	509876
1139	427098	509521
1140	427454	509123
1141	427784	508696
1142	428155	508317
1143	428560	507979
1144	428956	507629
1145	429378	507310
1146	429773	506960
1147	430157	506596
1148	430524	506212
1149	430877	505812
1150	431266	505455
1151	431606	505039
1152	431959	504639
1153	432326	504255
1154	432681	503858
1155	433017	503439
1156	433405	503080
1157	433749	502669
1158	434089	502255
1159	434417	501826
1160	434798	501460
1161	435175	501088
1162	435520	500680
1163	435881	500290
1164	436230	499886
1165	436563	499464
1166	436896	499042
1167	437263	498660
1168	437615	498260
1169	438052	497957
1170	438426	497582
1171	438849	497262
1172	439183	496842
1173	439547	496456
1174	439908	496067
1175	440270	495679
1176	440657	495318
1177	441010	494919
1178	441367	494526
1179	441745	494156
1180	442112	493773
1181	442521	493437
1182	442941	493113
1183	443296	492718
1184	443687	492361
1185	444039	491963
1186	444382	491553
1187	444771	491195
1188	445157	490833
1189	445541	490469
1190	445919	490099
1191	446272	489701
1192	446648	489328
1193	447008	488938
1194	447392	488575
1195	447768	488202
1196	448244	487938
1197	448569	487510
1198	448941	487133
1199	449310	486753
1200	449665	486357
1201	450033	485976
1202	450360	485550
1203	450767	485211
1204	451104	484796
1205	451449	484390
1206	451809	484001
1207	452168	483610
1208	452564	483259
1209	452904	482848
1210	453284	482480
1211	453666	482114
1212	454044	481743
1213	454374	481322
1214	454778	480979
1215	455147	480599
1216	455474	480175
1217	455808	479759
1218	456178	479380
1219	456558	479012
1220	456946	478651
1221	457339	478297
1222	457754	477965
1223	458161	477625
1224	458598	477316
1225	459004	476974
1226	459429	476653
1227	459824	476299
1228	460226	475954
1229	460567	475544
1230	460946	475175
1231	461319	474799
1232	461643	474373
1233	462026	474008
1234	462379	473611
1235	462783	473267
1236	463129	472863
1237	463475	472460
1238	463878	472114
1239	464247	471735
1240	464601	471339
1241	464943	470933
1242	465285	470525
1243	465631	470123
1244	465988	469731
1245	466334	469328
1246	466700	468945
1247	467027	468524
1248	467361	468109
1249	467704	467704
1250	468049	467301
1251	468482	466986
1252	468838	466593
1253	469298	466304
1254	469698	465955
1255	470084	465592
1256	470470	465230
1257	470873	464884
1258	471274	464536
1259	471661	464174
1260	472031	463796
1261	472408	463424
1262	472785	463052
1263	473133	462652
1264	473504	462274
1265	473874	461896
1266	474231	461505
1267	474588	461114
1268	475005	460781
1269	475425	460451
1270	475809	460086
1271	476171	459700
1272	476546	459326
1273	476905	458937
1274	477327	458608
1275	477702	458234
1276	478159	457939
1277	478502	457535
1278	478829	457115
1279	479190	456728
1280	479532	456323
1281	479938	455978
1282	480300	455592
1283	480699	455241
1284	481062	454857
1285	481443	454488
1286	481798	454095
1287	482159	453709
1288	482543	453343
